%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       1.00697        5.4056        6.0101        4.9310        4.4116         0.020       32.3931     0.0335021     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       1.00697        5.4056        6.0101        4.9310        4.4116         0.020       32.3929     0.0335014     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       1.00696        5.4056        6.0101        4.9310        4.4116         0.019       32.3927     0.0335007     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.00696        5.4056        6.0101        4.9310        4.4117         0.019       32.3926     0.0335000     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.00696        5.4056        6.0101        4.9311        4.4117         0.019       32.3924     0.0334994     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.00695        5.4056        6.0101        4.9311        4.4118         0.019       32.3923     0.0334987     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.00695        5.4056        6.0101        4.9311        4.4118         0.019       32.3921     0.0334980     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.00695        5.4056        6.0101        4.9311        4.4118         0.018       32.3920     0.0334974     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.00694        5.4056        6.0101        4.9312        4.4119         0.018       32.3918     0.0334967     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.00694        5.4056        6.0101        4.9312        4.4119         0.018       32.3916     0.0334960     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       1.00694        5.4056        6.0101        4.9312        4.4119         0.018       32.3915     0.0334953     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.00693        5.4057        6.0101        4.9312        4.4120         0.018       32.3913     0.0334947     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.00693        5.4057        6.0101        4.9312        4.4120         0.017       32.3912     0.0334940     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       1.00693        5.4057        6.0101        4.9313        4.4121         0.017       32.3910     0.0334933     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       1.00692        5.4057        6.0101        4.9313        4.4121         0.017       32.3909     0.0334926     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.00692        5.4057        6.0101        4.9313        4.4121         0.017       32.3907     0.0334920     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.00692        5.4057        6.0101        4.9313        4.4122         0.017       32.3906     0.0334913     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       1.00691        5.4057        6.0101        4.9313        4.4122         0.016       32.3904     0.0334906     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       1.00691        5.4057        6.0101        4.9314        4.4122         0.016       32.3902     0.0334899     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       1.00691        5.4057        6.0101        4.9314        4.4123         0.016       32.3901     0.0334892     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       1.00690        5.4057        6.0101        4.9314        4.4123         0.016       32.3900     0.0334886     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       1.00690        5.4057        6.0101        4.9314        4.4124         0.016       32.3898     0.0334879     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          11.            0.       19.0000       1.00690        5.4058        6.0101        4.9315        4.4124         0.016       32.3896     0.0334872     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       1.00689        5.4058        6.0101        4.9315        4.4124         0.015       32.3895     0.0334865     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       1.00689        5.4058        6.0101        4.9315        4.4125         0.015       32.3894     0.0334858     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          12.            0.       19.0000       1.00689        5.4058        6.0101        4.9315        4.4125         0.015       32.3892     0.0334852     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          13.            0.       19.0000       1.00688        5.4058        6.0101        4.9315        4.4126         0.015       32.3891     0.0334845     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          14.            0.       19.0000       1.00688        5.4058        6.0101        4.9316        4.4126         0.015       32.3889     0.0334838     0.0000018     0.0000000     0.0000012     0.0000006     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
