%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       2.00836        7.2047        8.0131        6.5707        5.8770         0.000       31.6351     0.0393539     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       2.00835        7.2047        8.0131        6.5707        5.8771         0.000       31.6350     0.0393532     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       2.00834        7.2047        8.0131        6.5707        5.8771         0.000       31.6350     0.0393525     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00833        7.2047        8.0131        6.5708        5.8772         0.000       31.6349     0.0393518     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00833        7.2047        8.0131        6.5708        5.8772         0.000       31.6349     0.0393511     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00832        7.2047        8.0131        6.5708        5.8773         0.000       31.6348     0.0393503     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       2.00831        7.2047        8.0131        6.5708        5.8773         0.000       31.6348     0.0393496     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00830        7.2047        8.0131        6.5709        5.8773         0.000       31.6347     0.0393489     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00829        7.2047        8.0131        6.5709        5.8774         0.000       31.6347     0.0393482     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00828        7.2047        8.0131        6.5709        5.8774         0.000       31.6346     0.0393475     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       2.00828        7.2048        8.0131        6.5709        5.8775         0.000       31.6346     0.0393468     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       2.00827        7.2048        8.0131        6.5710        5.8775         0.000       31.6345     0.0393461     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       2.00826        7.2048        8.0131        6.5710        5.8776         0.000       31.6345     0.0393453     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       2.00825        7.2048        8.0131        6.5710        5.8776         0.000       31.6344     0.0393446     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           7.            0.       19.0000       2.00824        7.2048        8.0131        6.5710        5.8776         0.000       31.6344     0.0393439     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       2.00823        7.2048        8.0131        6.5710        5.8777         0.000       31.6343     0.0393432     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       2.00823        7.2048        8.0131        6.5711        5.8777         0.000       31.6342     0.0393425     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           8.            0.       19.0000       2.00822        7.2048        8.0131        6.5711        5.8778         0.000       31.6342     0.0393418     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           9.            0.       19.0000       2.00821        7.2048        8.0131        6.5711        5.8778         0.000       31.6341     0.0393411     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
          10.            0.       19.0000       2.00820        7.2048        8.0131        6.5711        5.8779         0.000       31.6341     0.0393404     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
