%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       20.0000       1.51386        5.4083        6.0105        4.9347        4.4161         0.044       32.9281     0.0501723     0.0000001     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       20.0000       1.51384        5.4083        6.0105        4.9348        4.4163         0.043       32.9278     0.0501679     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       20.0000       1.51383        5.4084        6.0105        4.9349        4.4165         0.043       32.9276     0.0501634     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.51381        5.4084        6.0105        4.9350        4.4166         0.043       32.9274     0.0501589     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.51380        5.4085        6.0105        4.9351        4.4168         0.042       32.9272     0.0501545     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       20.0000       1.51378        5.4085        6.0105        4.9352        4.4170         0.042       32.9269     0.0501500     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       20.0000       1.51377        5.4086        6.0105        4.9353        4.4172         0.042       32.9267     0.0501456     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.51375        5.4086        6.0105        4.9354        4.4173         0.042       32.9265     0.0501411     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.51374        5.4086        6.0105        4.9355        4.4175         0.041       32.9263     0.0501367     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       20.0000       1.51372        5.4087        6.0105        4.9356        4.4177         0.041       32.9260     0.0501322     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       20.0000       1.51371        5.4087        6.0105        4.9357        4.4179         0.041       32.9258     0.0501278     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       20.0000       1.51369        5.4088        6.0105        4.9358        4.4180         0.040       32.9256     0.0501233     0.0000092     0.0000000     0.0000022     0.0000070     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
