%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       1.25493        3.6023        4.0066        3.2852        2.9383         0.014       31.5624     0.0930842     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       1.25465        3.6031        4.0066        3.2870        2.9414         0.014       31.5596     0.0928716     0.0000831     0.0000000     0.0000001     0.0000831     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       1.25438        3.6038        4.0066        3.2887        2.9444         0.014       31.5567     0.0926605     0.0000828     0.0000000     0.0000001     0.0000827     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.25411        3.6046        4.0066        3.2904        2.9474         0.014       31.5539     0.0924514     0.0000825     0.0000000     0.0000001     0.0000824     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.25384        3.6053        4.0066        3.2921        2.9504         0.014       31.5511     0.0922443     0.0000821     0.0000000     0.0000001     0.0000821     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       1.25357        3.6060        4.0066        3.2938        2.9534         0.014       31.5484     0.0920395     0.0000818     0.0000000     0.0000001     0.0000818     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       1.25331        3.6067        4.0066        3.2955        2.9563         0.014       31.5458     0.0918367     0.0000815     0.0000000     0.0000001     0.0000814     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.25304        3.6075        4.0066        3.2972        2.9592         0.014       31.5431     0.0916361     0.0000812     0.0000000     0.0000001     0.0000811     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.25278        3.6082        4.0067        3.2988        2.9621         0.014       31.5406     0.0914375     0.0000809     0.0000000     0.0000001     0.0000808     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       1.25252        3.6089        4.0067        3.3004        2.9650         0.014       31.5380     0.0912409     0.0000806     0.0000000     0.0000001     0.0000805     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       1.25226        3.6096        4.0067        3.3021        2.9679         0.014       31.5356     0.0910463     0.0000803     0.0000000     0.0000001     0.0000802     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
